stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,1,68,3,0,0,1,0,0
72hpf,0.85,0.28,1.13,0.28,0,0,0,0,0,0,0.28,0.56,0,4.51,0.56,0.28,2.25,11.56,1.41,0.28,0.56,0,0,0
21Day,0.37,0,1.11,8.51,0.74,0,0,0.37,0.74,0.37,0,0,0,0.37,0,0,0.74,4.07,0,0,0,0,0,0
3Month,0,0.1,0.21,0,0,0.1,0.31,1.04,0.1,0.42,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0,0.21,0,0,0.42,0.1
22Month,0,0,0.14,0,0,0,0.27,1.91,0,0.41,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0
