stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,10,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0.28,0.28,0,0,0.28,0,0,0,0,0,0,0.85,0,1.97,0,0,1.69,1.41,0,0,0.28,0,0.56,0,0,0
21Day,1.85,0.74,0,2.59,0.37,0.74,1.11,0,0,0,0,0,1.11,0,0.37,0.74,0,1.85,0,0,1.85,0.74,1.11,0.74,0,0,0.37,0,0,0
3Month,0,0.1,0,2.5,0,0,0,0.21,0.42,0,0.42,0.42,0.31,1.46,0.21,0.52,0.83,0.21,0,0.21,0,0,0.1,0.21,0,2.5,0,0.1,1.56,0.31
22Month,0,0,0.14,0.41,0,0,0,0,0.41,0,0.96,0,0,1.78,0,0.14,0.14,0.82,0.14,0,0,0,0,0,0,0.68,0,0,0,0
