stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,1,0,4,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0.56,0.28,0.28,0.28,0.28
21Day,0,0.37,0.37,0.37,0.37,0,1.48,1.11,0.74,0,0.37,0
