stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0.56,8.17,0,0.56,0,0,0.28,0,1.41,0,0,0,0.28,0,0,0.56,0,0,0,0,0,0
21Day,0.37,0,4.44,4.81,0.37,0,0,0,0,0,0,18.87,0.74,1.85,0.37,2.96,0,0,0,0,2.59,0.74,0,0,0,0.37,0,6.29,0,0.37,0,0,0,0.37
3Month,0.1,0.1,3.43,46.7,0,0.42,1.87,0.42,0,3.54,0.94,45.35,2.08,6.24,0.52,0.83,2.18,0,0.21,3.12,0.52,0.21,0.21,0.31,0,0.83,1.14,0.42,0,0,0.1,0.42,0.42,1.14
22Month,0,0,1.5,6.56,0,0,1.23,0.27,0.55,8.2,0.14,28.29,0.14,1.64,0.55,0.68,0,0.27,0,0.41,0,0,0.14,0.14,0,0,0.68,0,0.14,0,0.14,0.14,0,0
