stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,2,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0.28,1.41,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,7.77,0,0,0,0.37,0.37,0,0,0.37,0,0,0,0.37,0,0,0.37,0,0,0,1.11
3Month,0.21,0.1,0.73,0.1,0.62,0.94,24.44,0,0.31,0,0.1,1.87,0.21,0.31,0.21,0,0,0.31,0,0.21,0.1,0.21,2.5,0,0.1,0.83,1.14
22Month,0,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,1.37,0,0,0,0
