stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82,1.69,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,2.59,0,0,0,0,0.37,0,0,0,0,0
3Month,0,0.21,0.1,3.02,0,0.31,0.73,0.1,4.78,0.73,0,1.14,0.52,0.73,1.25,0.62,0.1,0,0.21,0,0,0.21,0,0.1,0.31,0.83,0,0,0.1,0.73
22Month,0.14,0.27,0.41,1.23,0.27,0.27,1.64,0.82,24.05,0.96,0.27,2.87,0,0.41,1.09,2.46,0.14,0.55,0.14,0.14,0.14,0,0.14,0.14,0,0.14,0.27,0.14,0,1.09
