stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,1.41,0,0.56,0,0,0,0,0,0,0.28,0,0,0,14.66,0.56,0,0,0,0,0,0.56,1.97,5.36,0,0,1.13,0,0,0,0.28,0,0,0,0,0
21Day,0.74,0,3.7,1.48,0,0.74,0,0,0,0,0,0,0.37,0,0.74,32.56,0,0,0.37,2.22,0,0,1.11,2.22,4.44,1.48,0,0,1.11,1.48,0,0,0.74,0,0.37,0,0,0.74
3Month,0.21,1.35,19.45,16.43,0.1,0,1.56,0.42,0,9.57,4.68,0,57.52,7.49,0.1,676.32,1.46,6.24,3.22,6.14,2.18,0,2.18,60.33,1.35,0,1.98,0.52,0.21,5.93,0.31,14.98,0,0.1,0,2.08,4.68,5.62
22Month,0.14,0.82,22,6.97,0.14,0,1.09,0,0.14,9.84,2.73,1.37,43.04,1.09,0.27,612.33,0.27,0.55,2.32,4.37,0,2.19,2.32,2.87,0.27,0,1.5,0.82,0,1.09,0,1.91,0.41,0.14,0,0.41,0.27,1.37
