stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,1,13,1,0,0,0,0,0,5,0,18,0,0,3,101,0,0,2,0,0,0,0,2,0,0
72hpf,1.13,0,0,0,0,0,0,0,0,1.13,0,1.97,0,0,3.1,3.38,0,0,1.13,0,0,0.28,0.28,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0.37,0,1.48,0,0,0,1.11,0,0,1.11,0.37,0,0.74,0,0.37,0,0
3Month,0,0,0.52,0,0,0.1,0.1,0.52,0.31,0.21,0.31,0.21,0.1,0.1,0,0.1,0.21,0,0,0,0.21,0,0,0,0.42,0.31
22Month,0,0,0,0,0,0,0.14,0.27,0.14,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0
