stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0,0,0.37,0,0,0,0.37,0.37,0,0,0.74,0.37,0
3Month,0.1,0,1.04,0,0,0.21,0.1,0,0.31,0.21,0.31,0.1,0.21,0.21,0.62,0,0,0,0.1,4.99,0.42,0.1
22Month,0,0.14,0.55,0,0.14,0.27,0.14,0.14,3.28,0,0.55,0,0.14,0.14,0.68,0,0,2.19,0,5.19,0,0
