stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,1.48,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81,0.37,0,0,0,0,0,1.11,0,0.37
3Month,0,0.1,0.1,5.82,0,0,0.31,0.21,0,0,2.81,0.31,0.52,0.73,0.62,0.31,0.31,0.21,0,0.1,1.66,0.1,0.1,0.1,0,0,0.21,9.67,22.16,0
22Month,0,0.27,0,0.55,0,0,0,0.27,0.27,0,3.69,0.14,0.27,0,0,0.14,0.14,0,0.27,0.14,0.14,0.14,0,0.14,7.52,0.14,0,7.93,0,0
