stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,1,1,0,0,0,0,0,0,2,0,0,0
72hpf,0,0,0.56,0.28,0,0,0.28,0,0,0.56,0,0
21Day,0,0,0,0,0,0,0.37,1.11,0,0.37,0,0
3Month,0,0,0,0,0.1,0.1,0,0.1,0,0,0.31,0.1
