stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0.28,0,0.28,0,0.85,0,0,0,0
21Day,1.11,0,0.74,0.37,0,0,0,1.48,0,0,0,0,0,0,0,0
3Month,0,0,0,0,0.52,0.21,0.21,0.21,0.1,0,0.1,0,0.1,0.21,0,0.42
22Month,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.14,0
