stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0.56,0.28,1.41,0,0,0.56,0.28,0,0.28,0,0.28,0,0,0
21Day,0.37,0.37,0.37,0.37,0.74,0.37,0,0,0,0,0.37,0,0,0,0.74,0,0,0.74,0.74,0,0.74,0,0.37,0,0,0
3Month,0.1,0,0.1,0,0,0.1,0.1,0.1,0.83,0,0,0.21,0.62,0.42,0.42,0.21,0.21,0,0,0.1,0,0.94,0,0,0.31,0.31
22Month,0,0,0,0,0,0,0,0.27,0.55,0.27,0.14,0,0,0.27,0,0,0,0,0,0,0,0,0.14,0.14,0,0.14
