stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,T_cell
21Day,0.37,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0
3Month,1.04,0,0.31,0,0.1,0.1,0,0.31,0.21,0.1,0,1.35,0.1,0,0.21
22Month,0.27,0.14,0.14,0.14,0.14,0.27,0.14,0.27,0,0.41,0.27,0.14,0,0.14,0
