stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.69,0.56,0,0,0,0,0
21Day,0.74,0,0.74,0.37,0,0,0,0.74,0,1.11,0.37,10.73,0.74,0.74,0,0.74,0.37,0
3Month,0,0.1,0.1,0,0.1,0,0.1,0.1,0,0,0,0.21,0,0,0.21,0,0,0.1
22Month,0,0,0.14,0,0,0.68,0,0,0.14,0.14,0,0,0,0,0,0,0,0
