stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0,0,2.54,0,0,0,0,0,0,0,0,0,23.11,0.28,3.38,0.28,0.28,0.56,0,0.28,0,0,0
21Day,0,0,0,7.03,0.37,0,0,0,0,0,0.37,0,0.37,26.64,0.37,1.48,0.37,0.37,0.37,0,0,0,0,0
3Month,0,0,0.1,7.39,0,0.1,0.1,0.1,0.52,0.1,0,0.21,0,1.04,0.1,0.1,0,0.1,0,0.21,0,0.1,0.31,0.1
22Month,0,0.14,0,0.14,0,0,0,0,0.82,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0
