stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0.56,2.82,0,0,0,0,0,0,0.28,0.56,0.28,0.28,0,0,0,1.69,5.36,0.28,0.85,0.28,0,0,2.82,0,0,0
21Day,0.37,0,0,1.11,0.37,0,0,0,0,0,0.37,0,0.37,0.74,0,0,0,0,0,0.37,2.96,0,0.37,0,0,0,2.22,0,0,0
3Month,0.1,0.52,0.42,13.73,0.52,0,0.1,1.04,0,4.26,0.83,1.35,3.43,1.46,0.94,0.73,0.1,0.52,0.73,1.25,0.42,0.52,0,0.21,0.52,3.64,0.31,0.42,153.01,0.73
22Month,0,0,0,2.32,0,0,0,0.14,0.14,2.19,0,0,0.27,0,0,0.14,0,0.14,0,0,0,0,0.14,0,0,2.19,0,0,0.68,0
