stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,3.66,0.85,0,0,1.69,0,0,0,0.28,0,0,0,0
21Day,1.11,0,7.77,0,0,0,0,0.37,0,0,0,0,0,6.66,0,0.74,0,0,4.81,0,0.37,2.59,0,0,0.37,0.37,0.37,0,0,0,0,0,0.74
3Month,0,2.18,2.5,0.1,0.1,0,0.31,0.62,0,3.33,0.42,0.1,1.04,1.14,2.08,1.56,0.62,0,6.76,0.42,0,0,0.21,0.1,0,0.31,14.25,0.1,0,0.1,0.1,38.28,0.62
22Month,0.14,2.05,1.64,0,0.27,0.14,0.14,0.68,0.55,9.98,0.55,0.68,0.68,0,2.32,0.82,0,0.14,3.14,0,0,0,0.27,0,0,0,3.96,0,0,0,0,0.27,0.14
