stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,14,3,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0.28,0,0.56,0.56,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0.37,0,0,0,0,0,0,0,0
3Month,0.31,0.52,1.46,10.82,0.1,1.25,0.31,0.31,1.87,2.5,0,354.91,4.37,0.21,8.53,0.42,3.54,10.92,3.85,0.83,1.04,0.1,2.5,0.52,0,0.52,0.83,0,0.21,4.37,0.1,18.62,0.31,0,0.62,14.35,1.98
22Month,0.14,0.55,0.14,1.78,0.14,0.14,0,0,0.41,4.51,1.09,176.55,1.5,0.14,4.51,0,0.14,6.29,1.37,0,6.15,0.27,0,0.14,0,0.27,0.55,0.41,0,0.27,0,0.41,0.27,0.41,0,0.14,0.82
