stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
72hpf,0.28,0.28,0.56,0,0,0.28,0.28,0,3.95,0.28,0.28,0,0
21Day,0,1.11,0,0.37,0.37,0,0,0.37,2.96,0,2.22,1.11,0.37
