stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0
21Day,0,6.29,0,0,0.37,0,0,0,0,0,0.37,0,0,0,1.11,0,0,0,0
3Month,0,5.72,0.31,0.42,1.66,0.62,0.21,0.1,0.42,0.21,0.52,0.1,0.21,0.31,58.98,0.1,0.31,10.71,0.73
22Month,0.14,0.41,0,0,0.96,0,0.27,0,0,0,0.14,0,0,0,9.29,0,0,0,0.14
