stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,1.85,0,0,0,0,0,0,0,0.37,0.37,0,1.48,0.37,0.37,0,0,0,0,0,0,0,0.74,0,0,0,0
3Month,0.83,0.52,18.41,0.1,0,3.74,0.42,0,3.33,0.94,0.62,25.69,0.42,3.85,3.02,1.04,0,0.52,0.31,0.21,0,0.73,0,0.21,1.66,0.1,0.21,1.66
22Month,1.09,0.96,4.92,0,0.14,3.01,0.96,0.41,5.06,0.68,0.82,26.1,0.14,1.23,2.05,1.91,0.14,0.55,0,0.14,0,0.14,0.14,0,3.01,0.41,0,0.41
