stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0,0.28,0.28,0.28,0,0.56,0,0,0,0
21Day,0.74,0.37,0,0.37,0,0,0.37,0,2.59,0.74,0.74,0.37,0.74,0,0,0.74,0.74,0,0,0,0,0,0,0
3Month,0.21,1.77,0.21,1.66,0.1,0,0.94,0.31,7.8,0.21,0.31,0.31,0.31,0,0.1,0,0,0.21,0,0,0.52,0.1,0,0.1
22Month,1.23,3.01,0,3.96,0.41,0.14,3.96,0.14,25.96,0.14,0.27,0.27,0.27,0.14,0.27,0.14,0,0.68,0.14,0.14,3.83,0,0.27,0
