stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,5,0,0,0,0
72hpf,0.28,0,0.56,2.25,0.28,0,0,0,0.28,0,0,0,0,0.28,1.69,0,0,0.56,0.28,0.56,0.56,0,0,0
21Day,0,0,2.22,0.37,0,0,0.37,0,0,0,0,0.37,0,0,0.74,0,0.74,0,0.37,0,1.85,0,0,0.37
3Month,0,0,1.25,0,0,0,0,0.62,0,0,0.1,0,0.1,0.1,0.62,0,0.1,0,0,0,3.02,0.1,0.1,0
22Month,0,0.14,8.34,0,0,0.27,0,1.23,0.27,0.96,0.41,0,0.14,0,0.14,0.41,0.27,0,0.14,0.14,7.52,0,0,0.68
