stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,0.28,0,0,0.56,1.41,0.28,0,0,0
21Day,0.37,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0,0.21,0,0.1,0.1,0,0,0.1,0.1,0.1,0.21,0,0,0,0.94,0.1,0.52
22Month,0,0.14,0.14,0,0.27,1.37,0.14,0,0,0.14,0.27,0,0,0,0.41,0,0
