stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,1.97,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,4.81,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0.74,0,0,0,0,0,0,0
3Month,0.21,78.43,0.21,3.95,0.21,0,0.31,0.73,125.55,0,4.99,3.33,0.73,2.81,0.1,2.29,5.3,1.98,0.83,0.1,1.46,0.62,0.21,0,0.21,0.31,0,0.1,1.14,1.87,0.1,0,5.62,0.52,1.46
22Month,0.27,253.07,0.55,3.83,0,0.55,0,0.82,298.03,1.09,24.73,1.37,0.55,2.73,0.27,0.82,7.11,1.78,0,0.96,1.64,0,0.96,0,0.14,0.55,0.55,0.14,0.27,0.27,0.82,0.68,1.5,0,1.5
