stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,11,9,51,4,0,0,0,0,0,0,1,0,0,0,14,2,2,233,0,0,0,7,9,443,0,0,34,0,0,0,0,0,11,0,0,0
72hpf,13.53,9.3,13.81,5.92,3.38,0,0,0,0,0,0,0,0,0,8.46,10.43,0.56,177.85,0,3.95,9.02,0.85,30.16,72.72,0,2.25,136.98,1.69,0,35.79,0,0,3.66,0,0,0
21Day,16.65,4.07,22.2,2.96,2.59,0,0.37,0,0,0.37,0,2.96,1.11,3.33,0.74,8.14,1.11,93.98,0,0,6.29,0,5.92,17.76,0,1.48,38.11,2.22,0,5.18,1.11,1.11,1.11,0,0,0
3Month,0,0.52,3.85,0.21,0,0,0,0.52,0.21,0,0,8.43,0,3.33,0.31,2.39,0.31,0.94,0.1,0,0.1,0.21,0.21,0,0.1,0.1,0,0.73,1.04,0,0,0,0,0.1,0.42,0.31
22Month,0,0.27,1.37,0,0,0.14,0,0.27,0.14,3.42,0,7.24,0,2.19,0,1.09,0.14,1.5,0,0,0,0,0,0,0,0,0,0,0.27,0,0.14,0,0,0,0,0
