stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
3Month,0.1,0.21,0.1,0.21,0.1,2.18,0.1,3.54
22Month,0,0,0,0,0,0.96,0,0
