stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,0,0,5,0,0,0,0,0,0,0,0,0,0,1,87,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.54,0,0,8.17,0.56,0,0,0,0,0,0,0,0,0,0.56,199.83,0.28,1.97,0,0.56,0,0.28,8.17,2.54,0,0,0,1.13,0,0,0.28,0,0,0,0
21Day,2.59,0,0,37.37,1.11,0,0,0,0,0,0.37,0,0,0,2.59,69.56,0,1.48,0,0,0.37,0,0.74,1.48,0,0,0,0.37,0.37,0.74,0,0.37,0,0,0.37
3Month,0,0.21,0.73,38.9,0,0.42,0.1,0.94,0.42,0,40.05,1.14,0.31,17.16,6.87,1.14,1.56,1.46,0.1,0.1,0.52,0.73,0.73,0,0.52,0.21,0,0,0.94,4.58,0.31,0,0.52,1.56,0.73
22Month,0.14,0.96,0.96,7.11,0,0.14,0.14,0.68,1.78,0.27,37.58,0,0,8.2,0.41,0.14,1.91,1.37,0,2.73,0.14,0,0.55,0.14,1.09,0.55,0.14,0.14,0,2.87,0.14,0,0,0,0.27
