stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,64,0,0,0,0,0,0,0,0,0,0,3,24,0,2,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,9.86,0.28,0,0,0,0,0,0,0,0,0,5.07,56.65,0,0.85,0,0.56,0,0.85,1.69,2.25,0.28,0,0.85,0.28,0,0.56,0,0,0,0
21Day,0,0,0.37,38.48,0,0.37,0,0,0,0,0,1.11,0,1.48,2.96,14.8,0,1.85,0,0,0,0,1.11,1.85,0,0,0.74,0.74,0,0,0.37,0,0,0
3Month,0,0.21,0.52,54.92,0,0,0.21,0.1,3.33,0.52,0,3.95,0.62,17.37,3.02,25.9,1.66,0.62,0.42,0,0.94,1.14,0.42,0.1,0.62,0,0,0.62,1.35,0,0,0.42,0.62,0.52
22Month,0,0,0.27,5.33,0,0,0,0,0.27,0,0.14,4.1,0.27,8.47,0.55,2.32,0.14,0,0,0.14,0.27,0,0.14,0,0.27,0.27,0,0,0.82,0,0,0,0,0
