stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,6.48,0,0,0.56,0,0,0,0,0.28,0,0,0.28,0,0.28,0,2.25,0,0,1.13,0.85,0,1.13,0,0.56,0,0,15.5,0,0,0,0,0
21Day,0.37,9.62,0,0,0.74,0.37,0,0,0,0,0,0,0,0,0,0.37,7.03,0,0.37,1.11,1.11,0,1.48,0,1.85,1.48,0,23.31,0.74,0,0,0,0
3Month,0,10.4,0.62,0,0,0,0.83,0.1,0.31,0,0.62,0.31,0,0.21,0.21,0.21,2.7,1.35,0.62,0.1,0,0.21,1.14,0,0,0,2.39,4.99,0,0.1,2.5,0.83,0.1
22Month,0,4.37,0,0.14,0,0.14,0.14,0,0,0.14,0.55,0,0,0,0,0,0.27,0,0,0.14,0,0.14,1.09,0.14,0,0,1.37,3.83,0,0,0.14,0,0.14
