stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07,0,0.28,0,0,0,0.28,0,0,0,0,0,0.28,0,0,0,0
21Day,0.37,0.37,13.32,0.37,0,0,0,0.37,0,0.37,0,1.85,1.11,0,62.16,1.11,1.48,0,0,0.74,1.48,1.11,0,0,0.74,0,0,0,0,0,1.85
3Month,0.21,0.31,3.54,0,0,0.21,1.56,1.35,0,1.66,1.04,0.21,8.11,0.21,0.52,0.83,0.73,0.21,0.31,0.1,0,0,0.21,0.1,0.1,0.1,0.1,0,0.42,0.31,4.37
22Month,0.68,0.82,3.69,0,0.14,0.14,2.05,13.94,0.27,10.11,1.64,1.37,31.02,0,0.55,6.56,1.37,0,0.27,0,0.14,0,0.68,0,0.41,0.68,0.14,0.14,0.27,0,4.1
