stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16,3,0,355,0,2,0,0,0,0,2,0,0,0,0,8,102,10,30,0,0,0,0,40,982,0,0,5,0,0,0,0,0,4,0,0,0
72hpf,6.2,0.28,0,84.27,1.41,5.36,0,0,0,0,0,0,0,0.85,0,3.38,85.68,0.56,9.02,0,0.56,1.13,0.28,420.8,91.88,0.56,0,20.29,0.28,0,20.57,0.28,0.28,0.56,0,0,0
21Day,4.44,0,0.37,54.76,0,4.07,0,1.11,0,0.37,0,0.74,0,5.18,1.48,0.74,22.57,1.11,12.21,0,0.37,0.74,0,135.42,57.72,0.37,0,36.26,7.03,0,8.88,0.37,2.59,1.11,0,0,2.59
3Month,0,0.1,0,7.28,0,0,0.1,0.1,0.52,0.62,0,1.77,1.77,2.18,0.42,0.21,4.16,0.62,4.26,0.1,0.1,0.42,0.42,0.31,0.1,0.1,0,0.1,0,1.46,0.1,0,0,0,0.1,0.21,1.46
22Month,0,1.09,0.27,4.51,0,0,0,0,0.14,0.96,0,10.25,0.55,3.83,0.41,0.14,3.83,3.01,11.89,0,0.41,0.14,0.14,0.41,0.41,0,0.14,0,0,1.37,0.55,0,0,0,0,0,0.68
