stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,0,1.48,0,0,0,0,0,0.37,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.94,15.6,0.83,0.42,0,1.25,0.21,0.1,7.59,0.52,0.73,0.73,0,0.21,0.21,0.42,0,0.42,0.1,0.1,0.42,0.31
22Month,0.27,0.55,3.55,1.37,0.41,0.14,1.78,0.14,0,8.75,0.55,0.14,0.41,0.55,0.27,0,0,0.41,0.41,0,0,0,0
