stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,6,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,2,88,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.56,1.69,2.25,0.85,0,0,0,0,0,0,0,0,1.13,1.97,0,8.46,0,0.28,0,0,10.99,30.72,0.28,0.28,0,7.61,0.28,0,3.1,0,0,0,0,0
21Day,1.85,0,6.29,8.51,2.59,0,0.37,0,1.11,0,1.11,0.74,0,1.48,1.48,10.36,0,0,1.48,0,3.7,7.03,0,0,0,4.44,1.11,1.11,2.22,0.37,1.11,0,0,0.37
3Month,0,0.62,3.22,0,0.1,0.31,1.14,0,6.03,0.73,0.42,1.04,0.62,0.83,1.46,2.5,0.94,0,0.31,0.31,0.1,0.1,0.21,0.62,0,0.73,0.31,42.65,0.21,0,0,0.94,35.57,1.66
22Month,0,0.14,0.82,0,0,0,0.82,0.14,8.88,0.55,1.37,2.19,0,0.55,0.82,0.82,0,0.14,0.14,0,0,0,0.14,0.14,0.27,0.14,0,6.29,0.14,0,0,0,0.14,0.41
