stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,5,0,0,0,0,0,0,0,0,0,0,0,1,2,12,0,0,10,55,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.85,1.41,0.28,0.85,0,0,0,0,0,0,0,0,0.28,3.38,0,12.68,0,0,11.27,20.57,0,10.99,0,0,3.1,0,0.28,0,0,0
21Day,4.07,1.11,8.88,0.37,6.29,0,2.22,0.37,0.37,0,0.37,0.74,0.37,0.74,3.33,0.74,22.2,2.22,0,6.29,9.62,0.74,9.25,1.48,0,0.74,0.37,0,0.37,0,1.11
3Month,0,0,0.94,0,0,0.1,0,0,0.1,0,0.62,0,0.1,0.1,0.21,0,0.1,0,0.1,0,0,0,0,0,0.42,0,0,0,0.1,0.1,0.1
22Month,0.14,0.41,0.41,0,0,0,0,0,0,0.41,1.09,0,0,0.14,0.14,0.14,0.27,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0.55
