stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0,0.85,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0.37,0,0,0,0,0,2.22,5.18,0,0.37,0.74,0,0,0,1.11,0.37,0,0.37,0.37,0,0,0.37,0,0,0,1.11
3Month,0,0.21,0.52,0,0.1,0.73,0,1.04,18.52,0.21,0,0.1,3.64,0.1,0,0.21,0,0,0,0.1,0,0.1,0.21,0,0,0.31,0.1,2.6
22Month,0.27,0,0.27,0.14,0,0.55,1.78,1.91,10.93,0.14,0.41,0,6.29,0.27,0.14,0.14,0,0,0.14,0,0.14,0,0,0,0.14,0,0,1.78
