stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.56,0,1.13,0,0,25.37,0.85,0.56,0.28,1.13,0,0,0.28,1.13,0.28,1.97,0,0
21Day,0,0,1.48,1.11,0.37,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,5.55,1.11,0.37,0,0,0.37,0,0.37,0,0.37,0,0,0.37
3Month,0,0,2.5,0.1,0,0,0.1,0.21,0,0,1.14,0.1,0.21,0.31,0.1,1.14,0.1,0.52,0.1,0.1,3.02,0,0.21,0.1,0.1,0.1,0.42,0.1,0,0,0.1,13.94,0.52
22Month,0,0.14,0.14,0,0,0.14,0,0.14,0.14,0,1.09,0.14,0,0.27,0,0.27,0.27,0.14,0,0,0,0,0,0,0,0,0.27,0.14,0,0,0,0,0.14
