stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
72hpf,0,0,0,0.56,0.28,0,0,0,0,0,0,0,0.56,0,0.56,1.41,7.89,1.69,0.56,0.85,0,0,0,0,0,0
21Day,0,0,0,3.33,0.37,0,0,0,0,0,0,0,1.11,0,2.22,5.55,7.03,1.11,0,0,0.37,0.74,1.11,1.11,0,0
3Month,0.1,0.42,0.1,1.04,0,0.21,1.25,0,0.73,0.31,0.21,0.1,0.21,0.31,0.94,0.31,0.31,0,0.1,0,0.21,1.04,0.1,0,24.65,0.31
22Month,0,0,0,0.14,0,0,0,0,0.14,0.14,0,0,0,0.27,0,0.41,0.14,0,0,0,0,0.55,0,0,0.55,0
