stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
21Day,0,0,0,0.37,1.11,0,0
3Month,0,0.1,0.1,0.1,0,0,0.52
22Month,0.14,1.37,0.14,0.27,0,0.41,0
