stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,1,1,0,1,1,0,0,0,0,0,0,0,4,0,3,15,1,1,0,0,0,0,0
72hpf,0.56,0,0,0.85,0.85,0,0,0,0,0,0,0.28,0.85,0,13.25,1.69,0.28,3.66,0,1.13,0,0,0.28
21Day,1.11,0.37,0,2.22,0.37,1.11,1.48,0,0,0.37,0.74,0.37,4.44,0.74,10.73,2.22,0,1.11,0,0.74,0.37,1.85,0.37
3Month,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
22Month,0,0,0,0,0,0,0,1.37,0.14,0,0,0,0.55,0.14,0,0,0,0,0,0,0,0,0
