stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.1,1.04,0,0.1,0.52,0,0.83,0.83,0,0.42,0.31,0.31,0.31,0.21,0.31,0,0.21,0,0.1,0,0.1,0.1,0.52
22Month,0.27,0.14,0.55,0.14,0.27,3.69,0.14,4.92,0.68,0.41,1.91,0.27,0.14,2.46,0.96,0,0.14,0.14,0.14,0,0.27,0,0,0.96
