stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,1,1,0,0,0,0
72hpf,0,0,0,0,0.28,0.56,0.56,0.28,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0.37,0,0
3Month,0,0,0.21,0.1,0,0,0,0,0.1,0,0.1,0.1
22Month,0.14,0,0.68,0,0,0,0,0,0,0,0,0
