stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0
21Day,0,0,0,0,0,0,0,0,0.74,0,0,0,0
3Month,0.1,3.33,0.1,0.31,0.1,0.1,1.87,0,0.31,0,0,0.1,0.1
22Month,0,0,0,0.14,0.14,0,0,0.14,0,0.14,0,0,0
