stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,1.13,0,0,0,0,1.13,0,0,0.28,0,0,0.28,0,0,0
21Day,0,0,0.37,0,0,0,0.37,0.37,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0.37,0,0
3Month,0,0.1,0.1,0.1,0.52,0.21,0.21,0,0,0,0.21,0.21,0,0.21,0,0,0,0.21,9.99,0,0,0.1,0.83
22Month,0,0,0,0.27,0,0,0.14,0,0,0.14,0,0,0,0,0,2.05,0,0,1.23,0,0,0,0
