stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,1,0,0,1,0,0
72hpf,0.28,0,0,0,0,0,0.85,0,0,0,0.28,0
21Day,2.59,0.37,0,0,0,0,1.48,0.37,0.74,0,0,0
3Month,0.73,0,0.1,0.21,0.1,0.1,0.1,0,0.1,0,0.21,0.21
22Month,0,0,0,0,0.27,0,0,0,0,0,0.14,0
