stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,2,3,3,1,0,0,1,0,0,0,1,0,4,5,0,0,2,37,0,1,0,0,0,1,0
72hpf,0,0.28,0.85,0,0.28,0,0,0,0,0,0.28,0.85,0.28,0.56,0.28,0,1.97,1.97,0,0.85,0.28,0,0.28,0.28,0
21Day,0.74,0,1.11,0,0,0,0,0.37,0,0,0.37,0.37,0,1.11,0,0.37,0,0,0,0.74,0,0,0.37,0.37,0
3Month,0,0,0.1,0,0,0,0,0.1,0.1,0.21,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0.27,0,0,0.14,0,1.23,0,0.41,0,0,0,0.82,0,0,0.14,0,0.14,0,0,0.41,0,0,0.14
