stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0.28,0.28,0.56,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0.37,0,0,0
3Month,0.1,0.31,0.83,0,0.21,0.1,0.21,0.1,0.31,0,0,0.21,5.1,0.1,0.1,0.31
22Month,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0
