stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,2.22,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,6.45,0.94,0,0.42,0.42,0.94,7.18,0.73,1.46,0.52,9.67,0.52,0.31,0.1,0.21,0,0.1,0.31,0,0.62,0,0.21,6.76
22Month,0.27,3.83,0,0.27,0.41,0.41,1.64,1.37,0.82,1.23,0.96,4.78,0.27,0,0,0,0.14,0.14,0.14,0.14,0.27,0.14,0,2.05
