stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0,1.13,0,0,0,2.54,0,0.85,0,0,0,0
21Day,0,0,0.37,0.74,0.37,0.37,0,0.37,0,0.37,0,0,0,0,0,0.74,0,0,0,2.59,0.74,0.74,0,0,0,0
3Month,0,0.1,0.21,0,0,0,0.1,1.46,4.26,0.62,0.31,0.73,0.1,0.1,0.31,0.21,0,0.21,0.21,0.21,0,0,0.31,0.42,0.1,0.21
22Month,0,0.27,0,0,0,0.14,0.27,1.78,3.14,0.27,0,0.55,0,0.27,0.55,0,0.55,0,0,0,0,0,0,0.14,0,0
