stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0.56,0,0.28,0,0.56,0.28,0,0,0,0,0
21Day,0,0,1.11,0.37,0,0,0,0,0.37,1.48,0,0.37,0,0.37,0,0.37,0,0.37,0,0
3Month,0,0.1,1.46,0,0.1,0.52,0.62,0.1,1.04,0,0.42,0.21,0.1,0,0,0,0.1,0,0.1,0.62
22Month,0.14,0.14,0.41,0,0.14,0.41,1.09,0,0.55,0.14,0.41,0.27,0,0.14,0,0,0,0,0,0.14
