stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,8,9,0,0,3,0,0,0,0,0,0
72hpf,0.28,0.56,0,2.54,0.85,0,0,0,0,0,0,0,0,0,0.28,2.82,0.28,2.82,0,0,0,0,1.41,0.85,0,0,4.23,0,0,1.13,0,0,0
21Day,1.11,0,0,1.11,0.74,0.37,0,0,0.37,0,0.74,0,0.37,0,0,1.11,0.74,5.18,0,0,0,0,0.74,0.74,0,0,4.07,0,0,0.37,0.37,0,0
3Month,0,0.42,0.31,3.95,0.1,0,0,0.31,1.46,0.21,2.91,1.46,0.1,1.04,0.62,2.18,1.66,2.18,0.73,0,0.42,0.21,0,0.1,0.21,0.1,0.1,0,0.94,0.21,0,0.31,0.73
22Month,0,0.14,0.27,1.23,0,0,0.14,0.55,1.09,0.41,11.07,1.5,0,1.23,0,0.41,1.5,2.05,0,0.55,0,0,0.14,0,0,0,0,0.14,0.41,0.14,0,0,0.82
