stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell
24hpf,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,2,0,0,0
72hpf,0,0.28,0.28,0,0,0,0.28,0,0.85,0,0,13.53,0.85,0,0.28,1.41,0,0.28,0
21Day,0,0,0,0,0,0,0,0,2.59,0.37,0.74,8.51,0.37,0,0.37,0,0.37,0.37,2.59
3Month,0,0,0,0,0,0.1,0,0,0.21,0,0.1,0,0,0,0,0.1,0,0,0
22Month,0.27,0,0,0.14,0.41,0,0,0.14,0.14,0.14,0,0,0,0.14,0,0,0,0,0
