stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,1,0,0,0,0,0,3,5,0,0,0
72hpf,1.41,0.85,1.41,0.28,0,0,4.51,0,7.61,4.51,4.23,0,2.82
21Day,1.85,0.37,1.11,0,0,0,6.29,0,2.59,1.85,2.59,0.37,1.11
3Month,0,0,0.21,0,0.1,0.1,0.21,0.21,0,0,0,0,0
