stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,1.69,0.28,0,0,0,0,0.28,0,0.28,0,0
21Day,1.11,0,0,1.11,0,0,0,0,0,0,0,0.37,0,0,4.07,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0.37,0,0,0
3Month,0,0,0.1,0.62,0.1,0,0.1,0.31,0,1.98,0.31,0.1,0.42,0.21,0.21,0,0.31,0,0,0.1,0.1,0,0,0,0,0.21,0.31,0,0,0,0.1,0.42
22Month,0,0.82,0.14,3.28,0,0.27,0.27,3.83,0.82,29.38,2.05,0.55,2.6,0.14,1.78,3.42,7.11,0.41,0.27,0.41,0.14,0.68,0,1.37,0.55,0.14,0.55,0.41,0,0,0,0.82
