stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,3.66,0.28,0.28,0,0,2.54,1.13,0,0,0.28,0,0,0,0.28,0,0,0
21Day,0,0.37,0,8.88,0,0.74,0,0,0,0,0,0.37,0.74,2.22,0,3.33,1.48,1.85,0,0,0,1.85,0.74,0,0,0,0,0.37,0.37,0.37,0,0,3.33
3Month,0.1,0.1,0.52,8.43,0.1,0,0,0.83,3.64,0.1,0,0.62,10.71,0.21,2.18,1.25,1.14,1.25,0.31,0.62,0,0.21,0,0.42,0,0,0,0.42,0,0,0.21,0.21,4.47
22Month,0,0,0.14,2.87,0,0,0.27,0.14,6.01,0.27,0,1.37,3.55,0.14,3.69,0.27,0.14,1.5,0.55,0.27,0.14,0,0,0.14,0.14,0,0.14,0,0,0,0,0,1.5
