stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,1.41,0.85,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,1.41,0,0.28,0,0.56,0.85,0,0,0,0.85,0,0,0,0.28,0,0,0,0,0
21Day,0,0.74,0,2.22,0,0,0,0,0,0,0,0,0,0,0.37,0,0,1.48,0,3.7,0,0.74,0,1.11,0.37,0,0,0,5.92,0.37,0,0,0,0.37,0.37,0,0,0
3Month,0,5.51,0.21,10.82,0.1,0,0,0.1,0.1,0.31,0.21,0,1.46,6.55,0.1,0.42,0.31,19.56,0.94,5.51,0.42,1.04,0.1,0.1,0,0.31,0.1,0,0.31,0.62,0.1,4.37,0.31,0,0.1,2.6,2.08,0.42
22Month,0,3.55,0,1.23,0,0,0.14,0,0,0,0.27,5.19,1.37,0.14,0,0.55,0,2.46,0.27,1.64,0.27,0.14,0,0.41,0.14,0.14,0,0.14,0.27,0,0,0.55,1.09,0,0,0.55,0,0
