stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,8,2,0,0,0,0,0,0,0,0,0,5,1,1,10,0,0,0,7,24,0,0,5,0,0,0,0,0,0,0,0
72hpf,1.69,0.28,7.33,1.97,2.82,0,0,0.28,0,0,0,0,0,2.25,9.3,0,7.05,0,0,0.28,16.63,9.86,0,0.85,177.56,0,0,1.41,0,1.41,0,0,0
21Day,1.48,0,2.96,1.11,1.11,0,0.37,0,0,0.74,0,0,0,0,1.48,0.37,20.72,0,0,2.59,6.29,1.85,0,0.37,99.9,1.48,0.37,0,1.11,0.74,0,0,0.37
3Month,0,0.62,2.18,0,0,0.1,0,2.39,0,5.3,0.1,0.1,0.52,0.52,1.56,0.21,0.73,0.21,0.1,0.42,0.21,0.21,0.1,0,16.75,0.1,3.02,0,0,0,0.1,1.04,0.1
22Month,0,0.55,1.09,0,0,0,0,2.46,0.68,16.53,0.14,0,0.27,0,0,0.41,1.37,0,1.37,0.68,0,0,0.14,0.27,13.12,0.14,2.05,0.14,0,0,0,0,0
