stage,Hepatocyte,Macrophage,Muscle_cell,Primordial_germ_cell,T_cell
21Day,0,0,0.37,0,1.85
3Month,0,0.31,0.1,0.31,0.42
22Month,0.14,0.14,0,0.27,0.68
