stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,4,32,1,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,2.82,0,0,0,0,0,0,0,0,0,0,1.13,0,12.4,0,0,0,26.78,1.97,0,0,3.66,0,0,0.28,0,0,0,0,0
21Day,0.37,0,2.59,3.7,0,0.37,0,0.37,0,0,0,0.37,0,0.37,0.37,0,19.61,0,1.11,0,10.73,1.48,0,0,1.48,0,0,0,0.37,0.37,0,0,0
3Month,0,0.52,13.83,0,0.1,0,0.31,0.1,0,0.62,0.21,0,0.52,0,0,0.1,4.78,0.1,0.21,0.1,0.31,0,1.25,0.1,0,0.31,0.62,0,0,0,4.89,1.04,0.21
22Month,0,0.27,2.87,0,0,0,0,0.27,0,0.14,0,0,0,0,0,0,0.27,0,0,0,0.14,0,0.14,0.14,0,0,0.14,0.27,0,0,0,0,0
