stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3,2,0,0,0,0,18,0,0,1,0,0,0,0,0,1,0,0,0
72hpf,0.56,0.85,0,1.41,0.56,4.23,0,0.28,0,0,0,0,0,0,0.56,0,0.28,7.33,0.85,1.41,0,0.28,0.28,59.19,7.33,0.28,0.28,4.79,0,0,0.56,1.41,0.28,0.56,0,0,0
21Day,1.85,0.37,0,13.32,0,1.48,0,0.74,0,0.37,0,0,0.74,0,1.85,0,0.37,5.55,1.48,6.66,0,0,0.74,10.36,1.85,0,0.37,6.29,0.37,0,0.37,4.07,0.37,0,0,0,0.37
3Month,0.21,0.94,0.21,4.26,0,0,0.31,0.42,1.46,0.83,0,0,3.22,1.98,0.31,1.14,0.31,0.73,3.64,1.56,0.1,0,0.21,0.42,0.21,0.31,0,0.1,0.52,11.13,0,1.14,0,0.21,0.52,1.56,2.91
22Month,0,1.91,0.55,1.5,0,0,0.14,0.27,0.55,3.01,0.55,0,12.16,0.27,0.68,2.05,0.27,0.41,1.91,1.78,0,0.68,0.14,0.27,0,2.46,0.41,0,0.14,2.05,0,0.55,0,0,0.41,0,1.5
