stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
72hpf,0.56,0.56,0.28,0.28,0,0,1.13,0.28,0,0,0.56,0.28,2.25,0,0,0,0
21Day,0.37,2.22,0,0,0,0,1.48,2.96,0,0.37,0,0.37,2.59,0,0.37,0,0
3Month,0,0.1,0,0,0.31,0.21,0.31,0.21,0.1,0,0,0,0.21,0.1,0.1,0.31,0.1
22Month,0,0.14,0,0,0.41,0,0,0,0,0,0,0,0,0,0.14,0,0
