stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,1,1,2,0,0,0,3,0,0,0,3,1,12,0,1,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0.28,1.41,0,0.56,0.85,0.28,0.28,0.28,0.56,0,0,0
21Day,0,0,1.11,0.74,0,0,0,0.74,0.37,1.48,1.85,0.74,0.37,0,0,0,0,0.37,0.37,0.37
3Month,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
