stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.13,0.85,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0.85,0,0,0,0,92.73,1.41,0,0,0,0.85,0,0,0.28,37.49,29.31,0.56,0,0
21Day,0.37,0.37,0,1.85,0,0,0,0,0,0,0,0.37,0,0,0,1.85,0,1.11,0,0,0.74,0,11.1,0.74,0,0.37,0,0.74,1.85,0,0,67.71,125.06,1.11,0,0.37
3Month,0,0.1,0.21,0.83,0,0.1,0,0.21,0.21,0,2.08,0.31,0.1,1.35,0,0.21,0.1,0.1,0.1,0,0.1,0.1,0.42,0,0.1,0,0,0,0,0.21,0,0.42,0,0.1,0.1,0.21
22Month,0.27,0.82,0.14,1.64,0,0.14,0.14,0.55,1.5,1.09,39.49,1.5,0.82,3.28,0,0.55,1.09,3.14,0,1.5,0.14,0,0.27,0.14,0.14,0.14,0.14,0.14,0,1.64,0.27,24.87,0,0,0,0.27
